registerNum,country1,durationDays,peopleDead,peopleDisplaced,mainCause1,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,year,HDI,lifeExp,yearsSchool,GNIPerCapita
816,Indonesia,2,2,8000,Heavy Rain,large,4052.37,3.908739087,106.357,-6.24192,Asia,South-Eastern Asia,1993,0.684,68.9,13,9788
815,Israel,1,2,0,Heavy Rain,extreme,3180.52,3.803528127,35.0229,30.2472,Asia,Western Asia,1993,0.894,82.4,16,30676
814,Ukraine,5,5,25000,Heavy Rain,large,4267.45,4.329138446,22.7867,48.3884,Europe,Eastern Europe,1993,0.747,71,15.1,8178
813,Malaysia,6,23,20000,Monsoon,large,103827.06,5.794461807,102.442,3.79233,Asia,South-Eastern Asia,1993,0.779,74.7,12.7,22762
812,France,11,11,48000,Heavy Rain,extreme,261149.34,6.759311613,5.76827,50.3802,Europe,Western Europe,1993,0.888,82.2,16,38056
811,Thailand,14,41,2000,Heavy Rain,large,42416.31,5.77366092,100.419,7.28291,Asia,South-Eastern Asia,1993,0.726,74.4,13.5,13323
810,Colombia,3,35,150,Heavy Rain,large,1958.11,3.76895834,-76.2092,6.87608,Americas,South America,1993,0.72,74,13.5,12040
809,Sri Lanka,13,0,500000,Heavy Rain,extreme,24712.98,5.807898466,80.7928,8.56672,Asia,Southern Asia,1993,0.757,74.9,13.7,9779
808,Costa Rica,4,4,17000,Heavy Rain,large,14333.82,4.758421938,-83.0411,9.64613,Americas,Central America,1993,0.766,79.4,13.9,13413
807,Peru,8,0,5000,Heavy Rain,large,162327.61,6.113482381,-74.5879,-10.0433,Americas,South America,1993,0.734,74.6,13.1,11015
806,China,9,0,5200,Snow/Ice Melt,large,12109.08,5.037353658,107.087,40.4443,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
805,Philippines,9,353,598000,Hurricane/Tropical Storm,large,46913.01,5.625535808,108.845,12.3152,Asia,South-Eastern Asia,1993,0.668,68.2,11.3,7915
804,India,12,70,45000,Hurricane/Tropical Storm,large,7968.64,4.980565453,79.9572,12.5851,Asia,Southern Asia,1993,0.609,68,11.7,5497
803,Philippines,3,27,0,Heavy Rain,large,359.297,3.032574846,124.962,10.7409,Asia,South-Eastern Asia,1993,0.668,68.2,11.3,7915
802,Thailand,6,11,0,Heavy Rain,large,56411.85,5.529521593,99.8978,8.15766,Asia,South-Eastern Asia,1993,0.726,74.4,13.5,13323
333,South Korea,5,131,1200000,Hurricane/Tropical Storm,large,5881.9,4.468487641,127.23,37.5052,Asia,Eastern Asia,1989,0.898,81.9,16.9,"33,890"
800,Cuba,5,30,51000,Heavy Rain,large,19322.92,4.98504276,-75.3512,20.5564,Americas,Caribbean,1993,0.769,79.4,13.8,7301
799,United States,4,5,600,Heavy Rain,extreme,33628.03,5.429791413,-91.5834,34.0563,Americas,Northern America,1993,0.915,79.1,16.5,52947
798,India,5,95,0,Heavy Rain,large,40501.37,5.306439718,77.5024,11.054,Asia,Southern Asia,1993,0.609,68,11.7,5497
797,Indonesia,14,5,3000,Heavy Rain,large,44228.12,5.791826515,101.308,1.12387,Asia,South-Eastern Asia,1993,0.684,68.9,13,9788
796,Mexico,3,0,10000,Heavy Rain,large,1666.75,3.698991719,-109.813,23.0797,Americas,Central America,1993,0.756,76.8,13.1,16056
795,China,12,2,0,Hurricane/Tropical Storm,large,1016.71,4.086378341,114.142,22.4214,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
794,Honduras,4,174,15000,Heavy Rain,large,6656.49,4.425305275,-86.4699,15.6489,Americas,Central America,1993,0.606,73.1,11.1,3938
793,France,3,4,0,Heavy Rain,large,1692.24,3.705583211,9.06044,41.5666,Europe,Western Europe,1993,0.888,82.2,16,38056
792,Algeria,2,22,0,Heavy Rain,large,39704.59,4.899870711,1.81853,35.8439,Africa,Northern Africa,1993,0.736,74.8,14,13054
791,India,11,35,40000,Heavy Rain,large,40595.2,5.649867371,75.4042,13.407,Asia,Southern Asia,1993,0.609,68,11.7,5497
790,South Africa,3,12,300,Heavy Rain,large,5895.3,4.247627165,31.8594,-28.2598,Africa,Southern Africa,1993,0.666,57.4,13.6,12122
206,South Korea,1,16,2640,Heavy Rain,large,3410.01,3.532755653,128.562,36.9815,Asia,Eastern Asia,1988,0.898,81.9,16.9,"33,890"
788,Vietnam,11,122,15000,Heavy Rain,extreme,29438.35,5.811336145,106.625,17.4285,Asia,South-Eastern Asia,1993,0.666,75.8,11.9,5092
787,Philippines,9,57,300000,Heavy Rain,extreme,35873.11,5.810041534,120.592,15.6301,Asia,South-Eastern Asia,1993,0.668,68.2,11.3,7915
786,Australia,13,0,2000,Heavy Rain,extreme,4163.54,5.034436089,146.608,-36.6559,Oceania,Australia and New Zealand,1993,0.935,82.4,20.2,42261
200,South Korea,7,6,2000,Heavy Rain,large,1801.07,4.100628632,127.777,37.8837,Asia,Eastern Asia,1988,0.898,81.9,16.9,"33,890"
784,Mexico,2,0,100000,Heavy Rain,large,13916.18,4.444550033,-98.4013,22.1952,Americas,Central America,1993,0.756,76.8,13.1,16056
783,China,2,0,1200,Heavy Rain,extreme,280.443,3.049904596,114.167,22.5233,Asia,Eastern Asia,1993,0.727,75.8,13.1,12547
