registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year,GDPmil,GDPrank,Income Group OECD
4241,Madagascar,,3/5/15 0:00,4/15/15 0:00,42,0,25000,,Heavy Rain,,,very large,68755.39,6.636647299,47.0106,-18.1557,Africa,Eastern Africa,2,14,2015,10593,138,Low income
4240,China,,4/4/15 0:00,4/15/15 0:00,12,0,12000,,Hurricane/Tropical Storm,,,very large,145834.77,6.419133586,110.676,27.9271,Asia,Eastern Asia,142,30,2015,10354832,2,Upper middle income
4239,India,,3/20/15 0:00,3/31/15 0:00,12,44,2907,,Heavy Rain,,,very large,70287.98,6.102153567,76.4058,33.1767,Asia,Southern Asia,142,34,2015,2048517,9,Lower middle income
4238,Chile,,3/25/15 0:00,4/8/15 0:00,15,27,2514,,Heavy Rain,,,extreme,154773.16,6.666816904,-68.888,-22.3617,Americas,South America,19,5,2015,258062,42,High income: OECD
4237,Brazil,,2/23/15 0:00,4/15/15 0:00,52,0,10000,,Heavy Rain,,,large,173696.63,6.955794736,-68.9127,-9.12272,Americas,South America,19,5,2015,2346076,7,Upper middle income
4236,Kenya,Tanzania,4/5/15 0:00,4/15/15 0:00,11,13,6500,,Heavy Rain,,,very large,32934.83,5.73513937,35.1089,0.04848,Africa,Eastern Africa,2,14,2015,60937,75,Lower middle income
4235,Brazil,,3/15/15 0:00,3/23/15 0:00,9,0,280,,Heavy Rain,,,very large,168905.06,6.357976429,-67.725,-7.68508,Americas,South America,19,5,2015,2346076,7,Upper middle income
4234,Tanzania,,3/3/15 0:00,3/23/15 0:00,21,38,0,,Heavy Rain,,,very large,40007.02,6.100446757,33.748,-4.31417,Africa,Eastern Africa,2,14,2015,48057,86,Low income
4233,Angola,,3/9/15 0:00,3/23/15 0:00,15,0,1000,,Heavy Rain,,,very large,10252.79,5.36302458,13.6811,-8.81664,Africa,Middle Africa,2,17,2015,138357,58,Upper middle income
4232,Angola,,3/9/15 0:00,3/23/15 0:00,15,60,1000,,Heavy Rain,,,very large,12133.31,5.436161812,13.879,-12.1145,Africa,Middle Africa,2,17,2015,138357,58,Upper middle income
